node,degree,clustering,closeness_centrality,betweenness_centrality,eccentricity
Artigo 1.768,2,0,0.00972324029423411,1.0705335546181925e-05,6
Artigo 1.769,3,0,0.00972324029423411,3.378858546258111e-05,6
Artigo 1.770,2,0,0.00972324029423411,1.0620321038157858e-05,6
Artigo 1.771,3,0,0.00972324029423411,2.069786844466682e-05,6
Artigo 1.772,3,0,0.00972324029423411,2.0774667501543715e-05,6
Artigo 1.773,2,0,0.00972324029423411,1.0436342770991523e-05,6
Artigo 1.774,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.775,3,0,0.00972324029423411,2.0404983298674018e-05,6
Artigo 1.776,2,0,0.00972324029423411,1.0985088310318885e-05,6
Artigo 1.777,3,0,0.00972324029423411,2.0537501161013137e-05,6
Artigo 1.861,2,0,0.00972324029423411,1.3645480611078523e-05,6
Artigo 1.862,2,0,0.00972324029423411,1.0253310222528115e-05,6
Artigo 1.885,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 1.886,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.911,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 1.912,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.913,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.914,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.915,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.916,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.917,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.918,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.919,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.920,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.921,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.946,2,0,0.00972324029423411,3.2449750350622796e-05,6
Artigo 1.947,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.948,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.949,2,0,0.00972324029423411,1.017651116565123e-05,6
49b1121b-af2c-452f-8e29-9d22a2ddcafa,3,0,0.008191913494148197,1.2281455239481853e-05,7
"III
Da Ausência
Seção I",1,0,0.00708914321340993,0.0,8
2258a464-c9bd-4aac-a21c-1c0c5457cb95,2,0,0.008191913494148197,2.2602996619796065e-07,7
Ministério Público,29,0,0.013426862859221757,0.0,8
b99edee0-4557-409d-bec5-dfcb33ac93f9,1,0,0.008191913494148197,0.0,7
